millis,DID,data_hex,u16be
600,0x0,00 76,118
605,0x1,00 03,3
610,0x2,02 52,594
615,0x3,03 F5,1013
620,0x4,02 F1,753
624,0x5,C8 32,51250
629,0x6,01 F1,497
635,0x7,00 76,118
641,0x8,02 3B,571
646,0x9,00 43,67
651,0x10,02 CB,715
656,0x11,00 35,53
661,0x12,03 FF,1023
670,0x28,00 7A,122
676,0x29,00 00,0
681,0x30,01 20,288
701,0x31,00 00,0
705,0x34,01 2A,298
710,0x35,00 03,3
716,0x38,00 66,102
721,0x39,00 00,0
727,0x41,00 00,0
732,0x42,00 FF,255
737,0x44,00 00,0
742,0x60,00 00,0
746,0x61,00 FF,255
753,0x64,00 00,0
758,0x70,00 19,25
763,0x71,00 03,3
769,0x72,01 F3,499
774,0x73,00 77,119
779,0x76,00 CD,205
792,0x77,00 00,0
797,0x100,00 00,0
802,0x102,80 00,32768
807,0x107,00 00,0
812,0x108,1D E8,7656
817,0x110,00 00,0
822,0x120,00 80,128
826,0x122,00 80,128
831,0x130,00 00,0
837,0x132,00 00,0
842,0x140,80 84,32900
847,0x151,80 C2,32962
852,0x166,80 C2,32962
857,0x168,81 BB,33211
862,0x471,00 FF,255
866,0x601,00 FF,255
880,0x608,01 20,288
885,0x610,00 DD,221
890,0x611,01 64,356
898,0x612,01 EA,490
903,0x613,02 70,624
907,0x614,02 F7,759
912,0x615,03 7D,893
917,0x620,79 9A,31130
923,0x621,79 9A,31130
928,0x622,79 9A,31130
933,0x623,79 9A,31130
939,0x624,79 9A,31130
943,0x625,79 9A,31130
947,0x626,79 9A,31130
952,0x627,79 9A,31130
957,0x628,79 9A,31130
973,0x629,75 C3,30147
978,0x640,AC CD,44237
983,0x641,59 40,22848
987,0x642,00 02,2
992,0x643,00 00,0
997,0x801,00 19,25
1003,0x802,91 24,37156
1008,0x803,00 5E,94
1013,0x1000,00 00,0
1018,0x1001,00 00,0
1027,0x1002,00 00,0
1031,0x1004,00 00,0
1036,0x1005,00 00,0
1042,0x1007,00 00,0
1047,0x1009,00 00,0
1052,0x1011,00 00,0
1069,0x1013,00 00,0
1074,0x1014,00 00,0
1078,0x1020,00 00,0
1084,0x1028,00 00,0
1089,0x1030,00 00,0
1094,0x1033,00 00,0
1099,0x1040,00 00,0
1104,0x1041,00 00,0
1108,0x1042,00 00,0
1113,0x1043,00 00,0
1118,0x1044,00 00,0
1124,0x1045,00 00,0
1129,0x1046,00 00,0
1134,0x1047,00 00,0
1139,0x1048,00 00,0
1144,0x1049,00 00,0
1161,0x1050,00 00,0
