millis,DID,data_hex,u16be
6299,0x8021,00 80,128
6303,0x8031,00 80,128
7593,0x0,00 77,119
7605,0x1,00 04,4
7609,0x2,02 52,594
7615,0x3,03 F5,1013
7620,0x4,02 F1,753
7625,0x5,C8 32,51250
7630,0x6,01 EF,495
7635,0x7,00 76,118
7640,0x8,02 DA,730
7644,0x9,00 33,51
7649,0x10,02 D8,728
7655,0x11,00 33,51
7660,0x12,03 FF,1023
7670,0x28,00 7A,122
7676,0x29,00 00,0
7681,0x30,01 20,288
7692,0x31,00 00,0
7697,0x34,01 2B,299
7702,0x35,00 04,4
7707,0x38,00 66,102
7712,0x39,00 00,0
7717,0x41,00 00,0
7721,0x42,00 FF,255
7726,0x44,00 00,0
7731,0x60,00 00,0
7737,0x61,00 FF,255
7742,0x64,00 00,0
7747,0x70,00 1A,26
7752,0x71,00 04,4
7757,0x72,01 F1,497
7762,0x73,00 76,118
7766,0x76,00 CD,205
7780,0x77,00 00,0
7785,0x100,00 00,0
7790,0x102,80 00,32768
7795,0x107,00 00,0
7800,0x108,1F 20,7968
7804,0x110,00 00,0
7809,0x120,00 80,128
7816,0x122,00 80,128
7821,0x130,00 00,0
7826,0x132,00 00,0
7831,0x140,80 84,32900
7836,0x151,80 C2,32962
7841,0x166,80 C2,32962
7845,0x168,81 BB,33211
7851,0x471,00 FF,255
7856,0x601,00 FF,255
7870,0x608,01 20,288
7875,0x610,00 DD,221
7880,0x611,01 64,356
7884,0x612,01 EA,490
7889,0x613,02 70,624
7894,0x614,02 F7,759
7900,0x615,03 7D,893
7905,0x620,79 9A,31130
7910,0x621,79 9A,31130
7915,0x622,79 9A,31130
7920,0x623,79 9A,31130
7925,0x624,79 9A,31130
7929,0x625,79 9A,31130
7934,0x626,79 9A,31130
7942,0x627,79 9A,31130
7947,0x628,79 9A,31130
7962,0x629,75 C3,30147
7966,0x640,AC CD,44237
7970,0x641,59 40,22848
7975,0x642,00 02,2
7981,0x643,00 00,0
7986,0x801,00 1A,26
7991,0x802,90 6F,36975
7996,0x803,00 5E,94
8001,0x1000,00 00,0
8006,0x1001,00 00,0
8010,0x1002,00 00,0
8015,0x1004,00 00,0
8022,0x1005,00 00,0
8026,0x1007,00 00,0
8031,0x1009,00 00,0
8036,0x1011,00 00,0
8047,0x1013,00 00,0
8051,0x1014,00 00,0
8056,0x1020,00 00,0
8062,0x1028,00 00,0
8067,0x1030,00 00,0
8072,0x1033,00 00,0
8077,0x1040,00 00,0
8082,0x1041,00 00,0
8087,0x1042,00 00,0
8091,0x1043,00 00,0
8096,0x1044,00 00,0
8102,0x1045,00 00,0
8108,0x1046,00 00,0
8113,0x1047,00 00,0
8118,0x1048,00 00,0
8123,0x1049,00 00,0
8134,0x1050,00 00,0
